# CF优选IP（原版完整IP段） 2025-12-01 21:28
# 代理模式: 是
# 共 80 条，平均延迟 87.8ms

172.67.64.27#CF优选IP 84ms 端口8880 未知
172.67.64.7#CF优选IP 85ms 端口2096 未知
172.67.64.19#CF优选IP 85ms 端口2053 未知
172.67.66.5#CF优选IP 85ms 端口8880 加拿大
104.26.0.3#CF优选IP 85ms 端口8443 未知
172.67.65.5#CF优选IP 85ms 端口8880 未知
172.67.65.27#CF优选IP 86ms 端口443 未知
104.26.0.5#CF优选IP 86ms 端口2053 未知
172.67.66.23#CF优选IP 86ms 端口2053 未知
172.67.66.29#CF优选IP 86ms 端口8880 未知
172.67.66.11#CF优选IP 86ms 端口2087 未知
172.67.65.19#CF优选IP 86ms 端口8443 未知
104.26.2.25#CF优选IP 86ms 端口2096 未知
104.26.2.27#CF优选IP 86ms 端口8880 未知
172.67.66.13#CF优选IP 86ms 端口2096 未知
172.67.65.23#CF优选IP 86ms 端口8443 未知
104.26.2.7#CF优选IP 86ms 端口2053 加拿大
172.67.65.15#CF优选IP 86ms 端口8080 未知
104.26.0.13#CF优选IP 87ms 端口8880 未知
172.67.66.15#CF优选IP 87ms 端口2096 未知
172.67.64.11#CF优选IP 87ms 端口8880 未知
104.26.1.27#CF优选IP 87ms 端口2053 未知
172.67.65.17#CF优选IP 87ms 端口2096 未知
104.26.1.21#CF优选IP 87ms 端口2053 加拿大
104.26.2.3#CF优选IP 87ms 端口2053 未知
172.67.64.3#CF优选IP 87ms 端口8880 未知
104.26.0.9#CF优选IP 87ms 端口2053 未知
172.67.65.11#CF优选IP 87ms 端口8443 未知
172.67.66.1#CF优选IP 87ms 端口2053 未知
104.26.2.13#CF优选IP 87ms 端口2053 加拿大
172.67.65.9#CF优选IP 87ms 端口2096 未知
172.67.66.7#CF优选IP 87ms 端口2096 未知
104.26.0.21#CF优选IP 87ms 端口2087 未知
172.67.64.17#CF优选IP 88ms 端口8080 未知
104.26.1.17#CF优选IP 88ms 端口2053 未知
104.26.0.29#CF优选IP 88ms 端口8443 未知
104.26.1.25#CF优选IP 88ms 端口443 未知
172.67.65.7#CF优选IP 88ms 端口2087 未知
104.26.1.7#CF优选IP 88ms 端口8443 未知
104.26.0.27#CF优选IP 88ms 端口443 未知
172.67.66.21#CF优选IP 88ms 端口443 未知
104.26.0.15#CF优选IP 88ms 端口8443 未知
172.67.65.1#CF优选IP 88ms 端口8443 未知
172.67.66.3#CF优选IP 88ms 端口2087 未知
104.26.2.15#CF优选IP 88ms 端口8080 加拿大
104.26.2.23#CF优选IP 88ms 端口8880 未知
104.26.0.25#CF优选IP 88ms 端口8080 未知
104.26.2.1#CF优选IP 88ms 端口8880 未知
172.67.64.23#CF优选IP 88ms 端口443 未知
104.26.2.29#CF优选IP 88ms 端口2053 未知
172.67.66.27#CF优选IP 88ms 端口2087 加拿大
172.67.66.25#CF优选IP 88ms 端口8080 未知
172.67.65.29#CF优选IP 88ms 端口2087 未知
104.26.1.11#CF优选IP 89ms 端口2096 未知
172.67.65.21#CF优选IP 89ms 端口2053 未知
172.67.66.17#CF优选IP 89ms 端口2087 未知
172.67.64.5#CF优选IP 89ms 端口8880 未知
172.67.64.25#CF优选IP 89ms 端口2087 未知
104.26.2.5#CF优选IP 89ms 端口8880 加拿大
172.67.64.13#CF优选IP 89ms 端口8880 未知
172.67.65.3#CF优选IP 89ms 端口443 加拿大
172.67.64.21#CF优选IP 89ms 端口2087 未知
104.26.1.15#CF优选IP 89ms 端口2053 未知
172.67.65.25#CF优选IP 89ms 端口8080 未知
172.67.64.1#CF优选IP 89ms 端口8880 加拿大
172.67.64.29#CF优选IP 89ms 端口443 未知
172.67.64.9#CF优选IP 89ms 端口443 加拿大
104.26.1.9#CF优选IP 90ms 端口2096 未知
104.26.1.1#CF优选IP 90ms 端口2053 未知
104.26.2.19#CF优选IP 90ms 端口8443 未知
104.26.2.11#CF优选IP 90ms 端口8443 未知
104.26.0.19#CF优选IP 90ms 端口2053 未知
172.67.66.9#CF优选IP 90ms 端口8443 未知
172.67.64.15#CF优选IP 90ms 端口2053 未知
104.26.1.29#CF优选IP 90ms 端口2087 未知
104.26.1.3#CF优选IP 90ms 端口443 加拿大
104.26.1.19#CF优选IP 90ms 端口8080 未知
104.26.0.23#CF优选IP 90ms 端口2087 未知
104.26.0.1#CF优选IP 91ms 端口2087 未知
104.26.1.23#CF优选IP 91ms 端口2053 未知
